,run,seed,beta,phi,phiT,phiU,deltaS,gH,gF
65405,65405,-1828630282.0,0.170964,0.078443,0.062892,0.432937,0.90953,0.025616,0.203809
65476,65476,-512688122.0,0.184158,0.088409,0.066389,0.347032,0.790597,0.036641,0.42102
65637,65637,2106427497.0,0.173851,0.08395,0.079571,0.17916,0.407855,0.030452,0.360226
66044,66044,1728666413.0,0.162996,0.089842,0.13677,0.10235,0.016719,0.052016,0.470976
66121,66121,996025913.0,0.156606,0.058632,0.144657,0.347022,0.694693,0.059512,0.330226
66702,66702,671682712.0,0.180327,0.229795,0.043959,0.24778,0.248648,0.057778,0.26404
66872,66872,296624077.0,0.170072,0.059431,0.100491,0.290521,0.290947,0.033253,0.292124
66991,66991,1890234105.0,0.197575,0.18068,0.048124,0.276839,0.550997,0.051177,0.262536
67094,67094,-1554792241.0,0.196712,0.171051,0.041967,0.121143,0.038176,0.030791,0.343651
67344,67344,-271899187.0,0.215917,0.284797,0.030725,0.245827,0.303294,0.040862,0.256698
67524,67524,1718227286.0,0.177759,0.049978,0.096484,0.307343,0.622885,0.039152,0.394116
67528,67528,-1073030145.0,0.178149,0.254581,0.031227,0.31796,0.633945,0.056411,0.265574
67552,67552,137850806.0,0.142454,0.05938,0.137258,0.236554,0.472758,0.039723,0.19044
67826,67826,209210247.0,0.184428,0.038408,0.102328,0.267566,0.705952,0.01952,0.407955
67988,67988,-1109457965.0,0.183493,0.144518,0.038008,0.168431,0.514894,0.023304,0.42551
68771,68771,205262574.0,0.160751,0.098994,0.057596,0.269449,0.263223,0.048738,0.265651
69085,69085,772378279.0,0.157039,0.100516,0.067164,0.307102,0.894323,0.033697,0.217757
69235,69235,624651146.0,0.165974,0.059404,0.123204,0.289042,0.237201,0.056485,0.356876
69246,69246,1650509877.0,0.202248,0.159827,0.042487,0.254506,0.802565,0.03705,0.341454
69266,69266,-1069852974.0,0.176483,0.262498,0.035731,0.245036,0.184795,0.059948,0.366379
69329,69329,151857865.0,0.162277,0.145753,0.077263,0.154595,0.262047,0.033497,0.100901
69880,69880,325968768.0,0.214143,0.095957,0.118109,0.178311,0.154763,0.050776,0.436691
70403,70403,-713228212.0,0.173172,0.1218,0.036709,0.290028,0.343751,0.032736,0.216505
70404,70404,-1397939358.0,0.216333,0.259705,0.022912,0.207458,0.224335,0.032696,0.291602
70588,70588,250765303.0,0.199255,0.203243,0.032951,0.222982,0.274553,0.02388,0.156945
70650,70650,1793556678.0,0.198371,0.135707,0.027878,0.35534,0.763278,0.036649,0.272608
70688,70688,1865784320.0,0.173645,0.167348,0.046621,0.349304,0.434736,0.056982,0.187634
70799,70799,-138792245.0,0.202354,0.088264,0.043287,0.220303,0.792406,0.011855,0.179442
70951,70951,-2041333616.0,0.16235,0.047303,0.124616,0.270114,0.995874,0.024009,0.47712
71558,71558,-1223188017.0,0.17293,0.165567,0.045906,0.358066,0.752733,0.033711,0.111521
71726,71726,-1539096994.0,0.180067,0.090265,0.07526,0.362833,0.527389,0.046282,0.309147
71946,71946,-1773097520.0,0.243287,0.271653,0.028419,0.232451,0.120727,0.043847,0.314357
72576,72576,20032399.0,0.194525,0.221301,0.030808,0.329895,0.767763,0.039259,0.328891
72681,72681,-1929748198.0,0.205514,0.031404,0.125024,0.291105,0.647879,0.02814,0.452733
72933,72933,-1235634186.0,0.172397,0.072381,0.143037,0.129095,0.275446,0.050215,0.174215
73158,73158,388492029.0,0.197788,0.058795,0.136976,0.389782,0.691329,0.050494,0.128108
73315,73315,-2005751587.0,0.168105,0.065104,0.117014,0.146837,0.057584,0.038584,0.197224
74162,74162,1680563316.0,0.207899,0.205042,0.018783,0.326232,0.73994,0.031282,0.162552
74262,74262,1325527776.0,0.236752,0.285195,0.015796,0.269461,0.883526,0.016797,0.214622
75184,75184,-224722445.0,0.161399,0.0957,0.068258,0.184646,0.190242,0.032473,0.298958
75606,75606,-664987777.0,0.19827,0.270199,0.02824,0.308865,0.60283,0.041393,0.488795
75714,75714,896434431.0,0.179846,0.238341,0.026016,0.249015,0.103156,0.042027,0.280133
75758,75758,513842142.0,0.16213,0.047853,0.132963,0.191664,0.43545,0.030633,0.320055
75814,75814,-1542068661.0,0.155832,0.058207,0.087325,0.215564,0.098677,0.02622,0.196852
75908,75908,1380241430.0,0.161134,0.0589,0.122313,0.277108,0.356226,0.047751,0.21469
75932,75932,744995671.0,0.191318,0.242078,0.02858,0.138242,0.021579,0.029177,0.476398
76223,76223,854691916.0,0.212789,0.176902,0.045391,0.363067,0.730375,0.049575,0.370386
76634,76634,-870192516.0,0.212569,0.210932,0.0263,0.218038,0.627386,0.02271,0.195414
